collection,fn_one,fn_one_dot,fn_none,fn_ln_none,ln_none,ln_one,ln_one_dot,total
1992_Q2,227,1943563,3147863.0,894419.0,894910.0,308.0,338.0,29874373.0
1995_Q0,108,2225041,4095130.0,1470004.0,1470593.0,354.0,154.0,33945932.0
1996_Q0,109,2229484,4135597.0,1499613.0,1500192.0,352.0,154.0,34189903.0
1996_Q1,106,2224907,4143945.0,1507692.0,1508263.0,342.0,116.0,34218752.0
1997_Q1,82,2165442,4286191.0,1618826.0,1619403.0,324.0,97.0,34630715.0
1997_Q3,85,2130247,4485546.0,1666754.0,1667377.0,297.0,102.0,34737798.0
1998_Q1,96,2108729,4704795.0,1884246.0,1884950.0,288.0,108.0,34996369.0
1998_Q3,114,2091444,5326020.0,2079914.0,2080745.0,275.0,101.0,36070875.0
1999_Q1,122,2046452,5149321.0,1843717.0,1844472.0,261.0,99.0,36071839.0
1999_Q3,193,1985407,5382932.0,2064938.0,2065590.0,204.0,96.0,36612030.0
2000_Q1,276,1924378,5513825.0,2206510.0,2207202.0,168.0,101.0,36670120.0
2000_Q3,355,1874130,5531817.0,2177207.0,2177889.0,154.0,111.0,36507298.0
2001_Q1,472,1811666,5539359.0,2102284.0,2102995.0,148.0,129.0,36413412.0
2001_Q2,502,1787782,5460643.0,1999896.0,2000608.0,151.0,140.0,36263920.0
2001_Q3,553,1740709,5297546.0,1942122.0,1943055.0,140.0,147.0,35816449.0
2001_Q4,662,1710116,5246618.0,1874566.0,1875654.0,133.0,158.0,35740602.0
2002_Q1,725,1677706,5199865.0,1832533.0,1833948.0,114.0,162.0,35579271.0
2002_Q3,605,1454763,5065065.0,1759917.0,1761547.0,54.0,130.0,35219780.0
2003_Q1,683,1407406,4930358.0,1721953.0,1723667.0,53.0,138.0,34893504.0
2003_Q3,974,1541212,4444177.0,1232560.0,1234418.0,59.0,152.0,34064787.0
2004_Q1,1021,1510362,4515805.0,1207866.0,1207866.0,54.0,157.0,33845067.0
2004_Q3,993,1481326,4490904.0,1187356.0,1187356.0,50.0,174.0,33496665.0
2005_Q1,999,1446831,4619633.0,1188068.0,1188068.0,50.0,174.0,33296488.0
2005_Q3,1066,1408284,5047813.0,1160286.0,1160286.0,50.0,184.0,33419698.0
2006_Q1,1104,1369324,4998451.0,1128117.0,1128117.0,45.0,186.0,32997594.0
2006_Q3,1117,1339743,5847945.0,1403967.0,1403967.0,297.0,193.0,33508623.0
2007_Q1,1199,1285718,4830192.0,1157136.0,1157136.0,193.0,207.0,31991441.0
2007_Q3,1642,1241562,4849401.0,1130757.0,1130757.0,115.0,240.0,31422485.0
2008_Q1,1979,1197325,4873641.0,1062650.0,1062650.0,136.0,309.0,30928821.0
2008_Q3,2044,1146865,4896083.0,1019003.0,1019003.0,192.0,341.0,30253832.0
2009_Q1,2136,1098990,4870884.0,974333.0,974333.0,159.0,354.0,29440657.0
2009_Q3,2217,1060458,5037429.0,946335.0,946335.0,75.0,359.0,28840824.0
2010_Q1,2403,1028141,4910833.0,944396.0,944396.0,86.0,363.0,28019802.0
2010_Q3,2538,1008223,4813056.0,918986.0,918986.0,137.0,372.0,27437004.0
2011_Q1,2751,986411,4836474.0,955868.0,955868.0,110.0,374.0,27064763.0
2011_Q3,2841,970703,4825380.0,978242.0,978242.0,48.0,379.0,26709613.0
2012_Q1,2976,948738,4663562.0,916961.0,916961.0,58.0,382.0,26142689.0
2012_Q3,3096,936129,4737540.0,956153.0,956153.0,126.0,107.0,26052210.0
2013_Q1,3178,915613,4782327.0,994264.0,994264.0,61.0,120.0,25683384.0
2013_Q3,3281,895619,4753020.0,1010708.0,1010708.0,65.0,124.0,25255500.0
2014_Q1,3397,882705,4771070.0,1041653.0,1041653.0,67.0,132.0,24931627.0
2014_Q3,3465,851289,4702032.0,1036818.0,1036818.0,101.0,140.0,24116086.0
2015_Q1,3555,835658,4662090.0,1004350.0,1004350.0,97.0,150.0,23599598.0
2015_Q3,3609,819385,4445905.0,956702.0,956702.0,95.0,17.0,22922351.0
2016_Q1,3689,803347,4404704.0,944547.0,944547.0,87.0,26.0,22463256.0
2016_Q3,3751,781445,3879589.0,665049.0,665049.0,88.0,41.0,21462263.0
2017_Q1,3830,758548,3757552.0,634538.0,634538.0,99.0,59.0,20916704.0
2017_Q3,3844,730922,3629589.0,612862.0,612862.0,78.0,79.0,20009223.0
2018_Q1,3889,709503,3547526.0,589706.0,589706.0,83.0,99.0,19434843.0
2018_Q3,3869,679870,3428481.0,565779.0,565779.0,90.0,114.0,18632177.0
